Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
george02@hotmail.com,"3286 Lynch Field
Henrychester, RI 41833-7902",LightCoral,35.039283064909725,14.426491050422623,37.37418350489759,3.9306153266132897,640.1877400085721
swilliams@ball-arroyo.com,"450 Samantha Valleys
Collinsborough, KS 37205-9891",Orchid,32.55052657442161,13.041244588162265,36.655208083959465,3.4562338235263015,514.0098178487356
taylorjared@foster.net,"601 Mitchell Estates Suite 922
Port Daniel, WV 83595",Crimson,32.58249357081853,11.739743796165987,36.85481082475086,2.1820169698233887,376.49684071853704
keith13@yahoo.com,"81830 Katie Squares
Port Austinland, FL 73522-0761",LightGoldenRodYellow,33.29698192462649,12.49105873801881,38.238940853091385,2.7095266269292764,484.5198091105511
schmidtdenise@hotmail.com,"06392 Matthew Viaduct Suite 000
Lake Ronald, NY 45787-0181",DarkGoldenRod,33.108336148346,12.892374513653694,36.52738830431376,4.5941168646031905,614.7296376283244
jasmin20@salas.com,"634 Nancy Shoals Suite 241
South Barry, AR 52307",HotPink,33.902717794463925,11.668866514553862,37.34126616101072,4.25698328967803,567.4750105270774
christophermorrison@mcguire-carter.biz,"90089 Eric Well
Nicoleside, MT 95918",Blue,34.55528258670921,11.777772039564965,37.97982686004657,3.7842730870783043,554.003093429799
deborah51@yahoo.com,"4190 Shelton Harbors
North Christopher, RI 60962",Violet,33.73264839262621,12.138793877121689,36.853882459920776,1.6234196094562199,399.98387159812256
melindahartman@gmail.com,"3761 Jared Mountain
Nicholasport, WY 51181",Pink,31.600512200303292,12.222967446546058,36.8227532265912,3.4145062403052493,479.17285149109694
sharper@yahoo.com,"239 Bush Fall Apt. 906
Riveraville, KY 88906-3319",SandyBrown,34.318927438542204,13.402331896928283,37.29204470528371,3.6060868889081727,585.9318442972224
jessicabrewer@simmons.net,"5052 Mccoy Passage Apt. 328
Teresaport, FM 97139",LightBlue,34.00648891839723,12.956276605432244,38.655094538522064,3.275733705185027,540.9957391083377
beckycarson@jones-brown.biz,"78787 Mitchell Lights
Matthewville, AZ 30310-0130",Gold,33.54047906012372,12.884124621344766,36.22604169397467,5.0072719865899025,628.0478039330167
jennifer24@hotmail.com,"46954 Melissa Corner
North Amanda, LA 34844",SteelBlue,34.43642583784763,13.325469096138633,36.76860309148005,3.3712581132239197,582.4919237338106
jeremy00@yahoo.com,"45442 Barber Key Apt. 882
South Jaclyn, NM 24367-3001",FloralWhite,33.55169913754013,12.15858523387948,36.57513377612486,5.453969474611709,640.7861663983061
wellsjuan@schroeder.com,"0338 Francis Junction
Lake Alexstad, NH 14302",Green,31.818616566769066,11.226545663510619,35.669935165958194,3.7558693892629655,446.41867337013565
gregorystewart@hotmail.com,"232 John Haven Suite 456
Johnsonhaven, VT 90106-0173",PaleGoldenRod,32.36312129411639,12.461135435006733,37.74560774187829,4.664258497238649,570.6300980875259
tammyjones@griffin.com,"0859 Audrey Isle
South Zachary, AS 09138",Navy,33.191570884444964,9.846124908736233,36.876313233417314,3.8066709485629935,423.3083340974698
